atom    mass   rad   ang     r(vd) E(vd)  S(vd)  Z*    T_3   DE   Hatom Mb Hy
La3+3 138.9100 1.943 109.471 3.522 0.017 12.000 3.400 0.000 100.0 100.0  6  3 
Ce6+3 140.1200 1.841  90.000 3.556 0.013 12.000 3.400 0.000 100.0 100.0  6  6 6
Pr6+3 140.9100 1.823  90.000 3.606 0.010 12.000 3.400 0.000 100.0 100.0  6  6 
Nd6+3 144.2400 1.816  90.000 3.575 0.010 12.000 3.400 0.000 100.0 100.0  6  6 6
Pm6+3 147.0000 1.801  90.000 3.547 0.009 12.000 3.400 0.000 100.0 100.0  6  6 
Sm6+3 150.4000 1.780  90.000 3.520 0.008 12.000 3.400 0.000 100.0 100.0  6  6 6
Eu6+3 151.9600 1.771  90.000 3.493 0.008 12.000 3.400 0.000 100.0 100.0  6  6 
Gd6+3 157.2500 1.735  90.000 3.368 0.009 12.000 3.400 0.000 100.0 100.0  6  6 6
Tb6+3 158.9300 1.732  90.000 3.451 0.007 12.000 3.400 0.000 100.0 100.0  6  6 
Dy6+3 162.5000 1.710  90.000 3.428 0.007 12.000 3.400 0.000 100.0 100.0  6  6 6
Ho6+3 164.9300 1.696  90.000 3.409 0.007 12.000 3.514 0.000 100.0 100.0  6  6 
Er6+3 167.2600 1.673  90.000 3.391 0.007 12.000 3.400 0.000 100.0 100.0  6  6 6
Tm6+3 168.9300 1.660  90.000 3.374 0.006 12.000 3.400 0.000 100.0 100.0  6  6 
Yb6+3 173.0400 1.637  90.000 3.355 0.228 12.000 2.693 0.000 100.0 100.0  6  6 6
Lu6+3 174.9700 1.671  90.000 3.640 0.041 12.000 3.365 0.000 100.0 100.0  6  6 
Hf3+4 178.4900 1.611 109.471 3.141 0.072 12.000 4.034 0.000 100.0 100.0  6  3 6
Ta3+5 180.9500 1.511 109.471 3.170 0.081 12.000 4.192 0.000 100.0 100.0  6  3 
W_6+6 183.8500 1.392  90.000 3.069 0.067 12.000 3.800 0.000 100.0 100.0  6  6 6
W_3+4 183.8500 1.526 109.471 3.069 0.067 12.000 3.800 0.000 100.0 100.0  6  3 
W_3+6 183.8500 1.380 109.471 3.069 0.067 12.000 3.800 0.000 100.0 100.0  6  3 6
Re6+5 186.2000 1.372  90.000 2.954 0.066 12.000 3.800 0.000 100.0 100.0  6  6 
Re3+7 186.2000 1.314 109.471 2.954 0.066 12.000 3.800 0.000 100.0 100.0  6  3 6
Os6+6 190.2000 1.372  90.000 3.120 0.037 12.000 3.800 0.000 100.0 100.0  6  6 
Ir6+3 192.2000 1.371  90.000 2.840 0.073 12.000 3.838 0.000 100.0 100.0  6  6 6
Pt4+2 195.0900 1.364  90.000 2.754 0.080 12.000 3.479 0.000 100.0 100.0  6  0 
Au4+3 196.9700 1.262  90.000 3.293 0.039 12.000 2.701 0.000 100.0 100.0  6  3 6
Hg1+2 200.5900 1.340 180.000 2.705 0.385 12.000 1.800 0.000 100.0 100.0  6  3 
