 C224     C157     O154      THETA_HARM     100.0000  109.5000
 C224     C158     H140      THETA_HARM      75.0000  110.7000
 C224     C158     O154      THETA_HARM     100.0000  109.5000
 C224     C206     H140      THETA_HARM      75.0000  110.7000
 C224     C206     S200      THETA_HARM     100.0000  108.6000
 C224     C214     H140      THETA_HARM      75.0000  110.7000
 C224     C214     S203      THETA_HARM     100.0000  114.7000
 C224     C235     N238      THETA_HARM     140.0000  116.6000
 C224     C235     N239      THETA_HARM     140.0000  116.6000
 C224     C235     O236      THETA_HARM     160.0000  120.4000
 C224     C274     C271      THETA_HARM     126.0000  111.1000
 C224     C274     H140      THETA_HARM      75.0000  110.7000
 C224     C505     C507      THETA_HARM     126.0000  114.0000
 C224     C505     C508      THETA_HARM     126.0000  114.0000
 C224     C505     C510      THETA_HARM     126.0000  114.0000
 C224     C505     H140      THETA_HARM      75.0000  110.7000
 C224     N238     C235      THETA_HARM     100.0000  121.9000
 C224     N238     H241      THETA_HARM      76.0000  118.4000
 C235     C135     H140      THETA_HARM      70.0000  109.5000
 C235     C136     C283      THETA_HARM     126.0000  111.1000
 C235     C136     C293      THETA_HARM     126.0000  111.1000
 C235     C136     H140      THETA_HARM      70.0000  109.5000
 C235     C223     H140      THETA_HARM      70.0000  109.5000
 C235     C223     N238      THETA_HARM     126.0000  110.1000
 C235     C224     C274      THETA_HARM     126.0000  111.1000
 C235     C224     C505      THETA_HARM     126.0000  111.1000
 C235     C224     H140      THETA_HARM      70.0000  109.5000
 C235     C224     N238      THETA_HARM     126.0000  110.1000
 C235     C246     H140      THETA_HARM      70.0000  109.5000
 C235     C246     N239      THETA_HARM     126.0000  110.1000
 C235     C292     H140      THETA_HARM      70.0000  109.5000
 C235     C292     N287      THETA_HARM     160.0000  111.2000
 C235     C293     C274      THETA_HARM     126.0000  111.1000
 C235     C293     C505      THETA_HARM     126.0000  111.1000
 C235     C293     H140      THETA_HARM      70.0000  109.5000
 C235     C293     N287      THETA_HARM     160.0000  111.2000
 C235     C295     H140      THETA_HARM      70.0000  109.5000
 C235     C295     N309      THETA_HARM     160.0000  111.2000
 C235     N237     H240      THETA_HARM      70.0000  119.8000
 C235     N238     C242      THETA_HARM     100.0000  121.9000
 C235     N238     C283      THETA_HARM     100.0000  121.9000
 C235     N238     C284      THETA_HARM     100.0000  121.9000
 C235     N238     H241      THETA_HARM      70.0000  119.8000
 C235     N239     C245      THETA_HARM     100.0000  121.9000
 C235     N239     C246      THETA_HARM     100.0000  121.9000
 C235     N239     C285      THETA_HARM     100.0000  121.9000
 C242     N238     H241      THETA_HARM      76.0000  118.4000
 C245     C136     H140      THETA_HARM      75.0000  110.7000
 C245     N238     C285      THETA_HARM     100.0000  118.0000
 C245     N239     C246      THETA_HARM     100.0000  118.0000
 C245     N239     C285      THETA_HARM     100.0000  118.0000
 C246     C136     H140      THETA_HARM      75.0000  110.7000
 C246     C235     N238      THETA_HARM     140.0000  116.6000
 C246     C235     N239      THETA_HARM     140.0000  116.6000
 C246     C235     O236      THETA_HARM     160.0000  120.4000
 C267     C136     C283      THETA_HARM     126.0000  111.1000
 C267     C136     C293      THETA_HARM     126.0000  111.1000
 C267     C136     H140      THETA_HARM      70.0000  109.5000
 C267     O268     H270      THETA_HARM      70.0000  113.0000
 C271     C274     C283      THETA_HARM     126.0000  111.1000
 C271     C274     C293      THETA_HARM     126.0000  111.1000
 C271     C274     H140      THETA_HARM      70.0000  109.5000
 C271     C283     C274      THETA_HARM     126.0000  111.1000
 C271     C283     C505      THETA_HARM     126.0000  111.1000
 C271     C283     H140      THETA_HARM      70.0000  109.5000
 C271     C283     N238      THETA_HARM     126.0000  110.1000
 C271     C284     H140      THETA_HARM      70.0000  109.5000
 C271     C284     N238      THETA_HARM     126.0000  110.1000
 C271     C285     H140      THETA_HARM      70.0000  109.5000
 C271     C285     N239      THETA_HARM     126.0000  110.1000
 C274     C136     C283      THETA_HARM     116.7000  112.7000
 C274     C136     C293      THETA_HARM     116.7000  112.7000
 C274     C136     H140      THETA_HARM      75.0000  110.7000
 C274     C224     H140      THETA_HARM      75.0000  110.7000
 C274     C224     N238      THETA_HARM     160.0000  109.7000
 C274     C271     O272      THETA_HARM     140.0000  117.0000
 C274     C283     H140      THETA_HARM      75.0000  110.7000
 C274     C283     N238      THETA_HARM     160.0000  109.7000
 C274     C293     H140      THETA_HARM      75.0000  110.7000
 C274     C293     N287      THETA_HARM     160.0000  111.2000
 C283     C135     H140      THETA_HARM      75.0000  110.7000
 C283     C136     C308      THETA_HARM     116.7000  112.7000
 C283     C136     C500      THETA_HARM     126.0000  115.6000
 C283     C136     H140      THETA_HARM      75.0000  110.7000
 C283     C137     H140      THETA_HARM      75.0000  110.7000
 C283     C149     H140      THETA_HARM      75.0000  110.7000
 C283     C157     H140      THETA_HARM      75.0000  110.7000
 C283     C157     O154      THETA_HARM     100.0000  109.5000
 C283     C158     H140      THETA_HARM      75.0000  110.7000
 C283     C158     O154      THETA_HARM     100.0000  109.5000
 C283     C206     H140      THETA_HARM      75.0000  110.7000
 C283     C206     S200      THETA_HARM     100.0000  108.6000
 C283     C214     H140      THETA_HARM      75.0000  110.7000
 C283     C214     S203      THETA_HARM     100.0000  114.7000
 C283     C271     O272      THETA_HARM     140.0000  117.0000
 C283     C274     H140      THETA_HARM      75.0000  110.7000
 C283     C505     C507      THETA_HARM     126.0000  114.0000
 C283     C505     C508      THETA_HARM     126.0000  114.0000
 C283     C505     C510      THETA_HARM     126.0000  114.0000
 C283     C505     H140      THETA_HARM      75.0000  110.7000
 C283     N238     H241      THETA_HARM      76.0000  118.4000
 C284     C271     O272      THETA_HARM     140.0000  117.0000
 C284     N238     H241      THETA_HARM      76.0000  118.4000
 C285     C136     H140      THETA_HARM      75.0000  110.7000
 C285     C271     O272      THETA_HARM     140.0000  117.0000
 C292     C136     H140      THETA_HARM      75.0000  110.7000
 C292     C235     N238      THETA_HARM     140.0000  116.6000
 C292     C235     N239      THETA_HARM     140.0000  116.6000
 C292     C235     O236      THETA_HARM     160.0000  120.4000
 C292     N287     H290      THETA_HARM      70.0000  109.5000
 C293     C135     H140      THETA_HARM      75.0000  110.7000
 C293     C136     C308      THETA_HARM     116.7000  112.7000
 C293     C136     C500      THETA_HARM     126.0000  115.6000
 C293     C136     H140      THETA_HARM      75.0000  110.7000
 C293     C137     H140      THETA_HARM      75.0000  110.7000
 C293     C149     H140      THETA_HARM      75.0000  110.7000
 C293     C157     H140      THETA_HARM      75.0000  110.7000
 C293     C157     O154      THETA_HARM     100.0000  109.5000
 C293     C158     H140      THETA_HARM      75.0000  110.7000
 C293     C158     O154      THETA_HARM     100.0000  109.5000
 C293     C206     H140      THETA_HARM      75.0000  110.7000
 C293     C206     S200      THETA_HARM     100.0000  108.6000
 C293     C214     H140      THETA_HARM      75.0000  110.7000
 C293     C214     S203      THETA_HARM     100.0000  114.7000
 C293     C235     N238      THETA_HARM     140.0000  116.6000
 C293     C235     N239      THETA_HARM     140.0000  116.6000
 C293     C235     O236      THETA_HARM     160.0000  120.4000
 C293     C274     H140      THETA_HARM      75.0000  110.7000
 C293     C505     C507      THETA_HARM     126.0000  114.0000
 C293     C505     C508      THETA_HARM     126.0000  114.0000
 C293     C505     C510      THETA_HARM     126.0000  114.0000
 C293     C505     H140      THETA_HARM      75.0000  110.7000
 C293     N287     H290      THETA_HARM      70.0000  109.5000
 C295     C136     H140      THETA_HARM      75.0000  110.7000
 C295     C235     N238      THETA_HARM     140.0000  116.6000
 C295     C235     N239      THETA_HARM     140.0000  116.6000
 C295     C235     O236      THETA_HARM     160.0000  120.4000
 C295     N309     C296      THETA_HARM     100.0000  113.0000
 C295     N309     H310      THETA_HARM      70.0000  109.5000
 C296     C136     H140      THETA_HARM      75.0000  110.7000
 C296     N309     H310      THETA_HARM      70.0000  109.5000
 C302     N300     H301      THETA_HARM      70.0000  120.0000
 C302     N303     C307      THETA_HARM     100.0000  123.2000
 C302     N303     H304      THETA_HARM      70.0000  120.0000
 C307     C308     H140      THETA_HARM      75.0000  110.7000
 C307     N303     H304      THETA_HARM      70.0000  118.4000
 C308     C136     H140      THETA_HARM      75.0000  110.7000
 C308     C307     H140      THETA_HARM      75.0000  110.7000
 C308     C307     N303      THETA_HARM     160.0000  111.2000
 C500     C136     H140      THETA_HARM      70.0000  109.5000
 C500     C501     C502      THETA_HARM     170.0000  108.8000
 C500     C514     H146      THETA_HARM      70.0000  120.0000
 C500     C514     N503      THETA_HARM     140.0000  108.7000
 C501     C145     H146      THETA_HARM      70.0000  120.0000
 C501     C500     C514      THETA_HARM     170.0000  106.4000
 C501     C502     N503      THETA_HARM     140.0000  104.4000
 C502     C145     H146      THETA_HARM      70.0000  120.0000
 C502     N503     C514      THETA_HARM     140.0000  111.6000
 C502     N503     H504      THETA_HARM      70.0000  123.1000
 C505     C224     H140      THETA_HARM      75.0000  110.7000
 C505     C224     N238      THETA_HARM     160.0000  109.7000
 C505     C283     H140      THETA_HARM      75.0000  110.7000
 C505     C283     N238      THETA_HARM     160.0000  109.7000
 C505     C293     H140      THETA_HARM      75.0000  110.7000
 C505     C293     N287      THETA_HARM     160.0000  111.2000
 C505     C507     C508      THETA_HARM     140.0000  130.7000
 C505     C507     N511      THETA_HARM     140.0000  124.5000
 C505     C508     C507      THETA_HARM     140.0000  130.7000
 C505     C508     N503      THETA_HARM     140.0000  121.6000
 C505     C510     C510      THETA_HARM     140.0000  130.7000
 C505     C510     N512      THETA_HARM     140.0000  121.6000
 C506     N503     C508      THETA_HARM     140.0000  109.8000
 C506     N503     H504      THETA_HARM      70.0000  120.0000
 C506     N511     C507      THETA_HARM     140.0000  110.0000
 C507     C505     H140      THETA_HARM      70.0000  109.5000
 C507     C508     H146      THETA_HARM      70.0000  130.7000
 C507     C508     N503      THETA_HARM     140.0000  106.3000
 C508     C505     H140      THETA_HARM      70.0000  109.5000
 C508     C507     H146      THETA_HARM      70.0000  128.2000
 C508     C507     N511      THETA_HARM     140.0000  111.0000
 C508     N503     H504      THETA_HARM      70.0000  120.0000
 C509     N512     C510      THETA_HARM     140.0000  109.8000
 C509     N512     H513      THETA_HARM      70.0000  120.0000
 C510     C505     H140      THETA_HARM      70.0000  109.5000
 C510     C510     H146      THETA_HARM      70.0000  130.7000
 C510     C510     N512      THETA_HARM     140.0000  106.3000
 C510     N512     H513      THETA_HARM      70.0000  120.0000
 C514     N503     H504      THETA_HARM      70.0000  120.0000
 H140     C157     O154      THETA_HARM      70.0000  109.5000
 H140     C158     O154      THETA_HARM      70.0000  109.5000
